108, 132, 121, 102
108,130,127,101
108,129,133,100
108,128,139,99
108,127,145,98
107,126,149,97
107, 125, 150, 96
108, 122, 157, 93
110, 122, 157, 93
112, 122, 157, 93
114, 122, 157, 93
116, 122, 157, 93
118, 122, 157, 93
120, 122, 157, 93
122, 122, 157, 93
124, 122, 157, 93
126, 122, 157, 93
128, 122, 157, 93
128, 123, 156, 93
127, 123, 158, 93
127, 123, 160, 93
126, 123, 162, 93
125, 123, 164, 93
124, 123, 166, 93
123, 123, 168, 93
122, 123, 170, 93
121, 123, 172, 93
121, 123, 174, 93
121, 123, 176, 93
120, 123, 178, 93
120, 122, 179, 93
117, 122, 179, 93
115, 122, 179, 93
112, 122, 179, 93
110, 122, 179, 93
108, 122, 179, 93
105, 122, 179, 93
102, 122, 179, 93
100, 122, 179, 93
97, 122, 179, 93
96, 122, 179, 93
95, 122, 178, 93
93, 122, 178, 93
91, 122, 178, 93
90, 122, 178, 93
88, 122, 178, 93
86, 122, 178, 93
85, 122, 178, 93
83, 122, 178, 93
81, 122, 178, 93
80, 122, 178, 93
78, 122, 178, 93
76, 122, 178, 93
75, 122, 178, 93
75, 120, 178, 93
74, 118, 178, 93
74, 116, 178, 93
74, 114, 178, 93
73, 112, 178, 93
73, 111, 177, 93
71,109,174,95
69,105,170,100
68,100,165,105
66,95,160,110
64,90,155,115
63,88,150,120
61,84,147,125
60,82,146,128
58, 80, 145, 132
60, 77, 140, 132
65, 73, 135, 132
70, 70, 125, 132
75, 65, 115, 132
75, 60, 105, 132
75, 60, 95, 132
80, 55, 85, 132
85, 50, 76, 132
85, 50, 65, 132
96, 47, 55, 133
100, 57, 65, 133
110, 67, 75, 133
120, 77, 85, 133
130, 87, 95, 133
135, 97, 105, 134
145, 107, 115, 134
150, 110, 125, 135
150, 117, 135, 136
151, 121, 138, 137
147, 100, 142, 137
141, 80, 146, 137
138, 60, 150, 137
133, 50, 154, 137
130, 30, 154, 137
130, 15, 158, 137
128, 10, 162, 137
128, 8, 162, 137
128, 6, 162, 137
128, 4, 162, 137
128, 2, 162, 137
128, 2, 164, 137
125, 2, 164, 137
122, 2, 164, 137
120, 2, 164, 137
115, 2, 164, 137
110, 2, 164, 137
105, 2, 164, 137
100, 2, 164, 137
97, 2, 164, 137
96, 25, 164, 137
95, 45, 164, 137
94, 65, 164, 137
93, 85, 164, 137
93, 105, 164, 138
92, 125, 164, 139
90, 135, 164, 140
90, 145, 164, 141
87, 145, 164, 142
85, 150, 164, 143
83, 157, 164, 144
82, 150, 164, 144
82, 140, 164, 144
81, 130, 164, 144
80, 120, 164, 144
76, 110, 164, 144
73, 105, 164, 144
70, 104, 174, 144
